author,article,date,word,view,comment,like,gain
奇奇漫悦读,嫁给穷男人不幸福？我就是那个坐在自行车上笑的女人,2017.02.04 11:36,字数 3517,21106,"665,""author"":{""total_wordage"":352335,""followers_count"":774,""total_likes_count"":2276}",980,19
Lonely_Fish,如何成为月入十万的斜杠青年（上）,2017.01.30 23:35,字数 5097,20959,"205,""author"":{""total_wordage"":60002,""followers_count"":1693,""total_likes_count"":3377}",1478,10
若惜情,大学生，请你慢一点再谈恋爱。,2017.01.21 10:30,字数 2429,21695,"657,""author"":{""total_wordage"":17942,""followers_count"":231,""total_likes_count"":1390}",1114,6
草蜢凡人,你无法体会的穷人思维,2017.01.17 08:24,字数 1372,22629,"810,""author"":{""total_wordage"":54975,""followers_count"":356,""total_likes_count"":1790}",840,45
简叔,简友常见问题汇总,2015.08.01 12:17,字数 2255,667350,"5509,""author"":{""total_wordage"":63069,""followers_count"":67900,""total_likes_count"":28879}",13567,35
顾一宸,你这毛病再不改会没朋友的，你知道不？,2017.02.16 08:40,字数 2746,22459,"461,""author"":{""total_wordage"":485571,""followers_count"":9508,""total_likes_count"":34343}",1385,21
简书,我在简书过鸡年——万人万字，请接棒！,2017.01.19 12:26,字数 562,43400,"711,""author"":{""total_wordage"":301932,""followers_count"":30745,""total_likes_count"":25947}",762,12
背书包的女捕快,28岁才要谈恋爱，还来得及吗？,2017.01.19 23:11,字数 1722,6066,"288,""author"":{""total_wordage"":90864,""followers_count"":1431,""total_likes_count"":4119}",162,2
程云舒,单身时，让你快乐的10件事,2017.02.13 18:15,字数 2876,6995,"156,""author"":{""total_wordage"":79300,""followers_count"":2290,""total_likes_count"":5748}",403,1
阿何,这样去搜索想要的资料信息，真的爽爆了！,2017.02.17 12:15,字数 2719,8464,"61,""author"":{""total_wordage"":147675,""followers_count"":8780,""total_likes_count"":23432}",556,2
小棕同学,你敢把你文章分享到朋友圈吗？,2017.02.11 07:10,字数 1126,3828,"322,""author"":{""total_wordage"":161913,""followers_count"":221,""total_likes_count"":1220}",279,4
斯诺姑娘,简年5：听力满分不是梦，仅用一招便妥妥滴搞定,2017.01.26 11:07,字数 1811,6028,"74,""author"":{""total_wordage"":41152,""followers_count"":2117,""total_likes_count"":4493}",634,5
彭小六,别争论，往前走,2017.01.23 22:39,字数 1518,16784,"164,""author"":{""total_wordage"":528857,""followers_count"":90277,""total_likes_count"":171293}",546,12
梦想家尼可,我为什么要用持续写作代替大量阅读？,2017.01.24 17:29,字数 3380,7508,"215,""author"":{""total_wordage"":23543,""followers_count"":231,""total_likes_count"":697}",621,11
Kiran_Chan,面试了近60个公司，我听懂了这些“潜台词”,2017.01.18 21:56,字数 1958,18307,"364,""author"":{""total_wordage"":26026,""followers_count"":189,""total_likes_count"":789}",699,5
微澜细语,你们培养了千百个武亦姝更培养了千千万万个普通人,2017.02.08 08:40,字数 1337,27525,"300,""author"":{""total_wordage"":106226,""followers_count"":475,""total_likes_count"":1359}",871,36
乌龙明月,人人都有机会，用一年时间，改变命运,2017.02.09 09:08,字数 3357,15268,"161,""author"":{""total_wordage"":47943,""followers_count"":515,""total_likes_count"":1303}",1070,10
Dorothy小姐,丑姑娘瘦掉20斤的公主梦：你远比自己想象的更美,2017.02.05 15:03,字数 3057,15015,"380,""author"":{""total_wordage"":11520,""followers_count"":721,""total_likes_count"":1816}",908,5
安梳颜,其实，谈恋爱挺好玩的,2017.01.27 18:21,字数 1383,26650,"284,""author"":{""total_wordage"":177710,""followers_count"":26728,""total_likes_count"":44740}",838,5
冰心小记,老司机程序员用到的各种优秀资料、神器及框架整理,2017.02.07 17:42,字数 2519,13506,"87,""author"":{""total_wordage"":53498,""followers_count"":642,""total_likes_count"":1885}",1201,5
生活家小不点,"刷遍朋友圈的2017年度计划 | ""word天！看完感觉自己白活了！""",2017.02.11 11:27,字数 8405,13849,"278,""author"":{""total_wordage"":18716,""followers_count"":654,""total_likes_count"":1137}",1091,13
尹沽城,十年后，我想有一间这样的房子,2017.01.19 13:13,字数 1060,27528,"401,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43180}",818,8
子莯青青,突然有一天，别人不再说你内向,2017.01.29 15:22,字数 2201,16435,"398,""author"":{""total_wordage"":147438,""followers_count"":3742,""total_likes_count"":5683}",896,6
野小喵,毕业一年，我学到的五种高效学习方法,2017.02.05 21:53,字数 3344,15374,"157,""author"":{""total_wordage"":19496,""followers_count"":374,""total_likes_count"":1472}",1133,3
Mr_Ten,我能有多坚强，我又不比别人多颗心脏,2017.02.01 22:28,字数 3015,7695,"99,""author"":{""total_wordage"":114810,""followers_count"":2052,""total_likes_count"":8866}",1302,4
丧心病狂刘老湿,当他眼睁睁的看着17岁女儿被性侵时，他到底在想什么？,2017.01.23 12:15,字数 1898,39972,"520,""author"":{""total_wordage"":208717,""followers_count"":5951,""total_likes_count"":9982}",518,8
森林里的怪阿姨,关掉朋友圈的一年，我用手机记录了什么（春夏篇）,2017.01.17 19:19,字数 664,21299,"449,""author"":{""total_wordage"":11369,""followers_count"":252,""total_likes_count"":910}",817,4
瓯南,大学两年读了200多本书，向你推荐这7本,2016.05.19 23:03,字数 2206,161526,"1333,""author"":{""total_wordage"":224388,""followers_count"":3260,""total_likes_count"":19203}",13267,43
及拾,我害怕一事无成，更害怕孤身一人,2017.01.18 12:31,字数 1958,40623,"461,""author"":{""total_wordage"":33686,""followers_count"":225,""total_likes_count"":1648}",807,4
麟书,18岁程序员的自学之路,2017.01.28 14:01,字数 3331,15270,"439,""author"":{""total_wordage"":5410,""followers_count"":364,""total_likes_count"":1122}",986,25
尹沽城,丁酉年，想送给你的十句话,2017.01.27 20:50,字数 559,19259,"384,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43180}",1196,14
午后呓语,你连坚持都做不到，还谈什么迷茫,2017.01.22 21:51,字数 2221,14346,"382,""author"":{""total_wordage"":174586,""followers_count"":5109,""total_likes_count"":19222}",1156,5
水的颜色,我是如何从土肥圆逆袭成为白富美的？,2017.02.04 20:37,字数 3015,50672,"408,""author"":{""total_wordage"":18995,""followers_count"":165,""total_likes_count"":1324}",1117,3
微安van,在大二，我是怎么月收入5000,2017.01.22 10:01,字数 1840,19075,"459,""author"":{""total_wordage"":25760,""followers_count"":361,""total_likes_count"":1207}",1170,5
贝拉小姐love,如何写得一手漂亮的好字？（内附8年练字心得）,2017.02.03 16:07,字数 3129,16879,"371,""author"":{""total_wordage"":124267,""followers_count"":727,""total_likes_count"":1846}",1273,5
Dorothy小姐,眼前从来不需要苟且：20几岁的女孩如何认真去对待生活（一）,2017.02.06 17:07,字数 4208,11926,"322,""author"":{""total_wordage"":11520,""followers_count"":721,""total_likes_count"":1816}",736,4
不戒大师,大部分的恐惧与你的懒惰有关,2017.02.08 18:02,字数 2547,10917,"291,""author"":{""total_wordage"":104915,""followers_count"":3543,""total_likes_count"":7938}",779,10
super娜娜娜,那些努力考上大学的农村孩子，毕业之后过得怎么样了？,2017.02.02 03:23,字数 2154,34421,"265,""author"":{""total_wordage"":11642,""followers_count"":165,""total_likes_count"":651}",605,2
潮范,被骗入传销的13天-01请爷入瓮,2017.02.09 14:00,字数 4789,23957,"373,""author"":{""total_wordage"":40508,""followers_count"":657,""total_likes_count"":860}",470,5
造梦者独慕溪,17天女生独行，如何用4000元横跨南北三省四个城市？,2017.02.13 12:46,字数 4420,11381,"316,""author"":{""total_wordage"":59906,""followers_count"":498,""total_likes_count"":1475}",762,5
影子影,活得越来越酷，朋友丢了一路,2017.01.19 10:00,字数 2001,14549,"337,""author"":{""total_wordage"":216970,""followers_count"":1161,""total_likes_count"":5756}",754,8
林文彦,技能/3分钟即席演讲与月入10W+,2017.02.02 15:56,字数 2298,14450,"201,""author"":{""total_wordage"":70720,""followers_count"":374,""total_likes_count"":1362}",918,5
蓝菠萝球,干货 | 我是怎样零基础学画画转行当上设计师的,2016.11.28 13:04,字数 2257,39240,"593,""author"":{""total_wordage"":10873,""followers_count"":1759,""total_likes_count"":4772}",4242,18
韩大爷的杂货铺,你的人格完善程度决定着你的发展高度,2016.12.28 11:16,字数 3123,67660,"630,""author"":{""total_wordage"":398827,""followers_count"":26929,""total_likes_count"":65492}",3460,26
Liu小言,想提高自己？看这个2017阅读书单,2017.01.29 09:43,字数 1421,13321,"129,""author"":{""total_wordage"":25660,""followers_count"":250,""total_likes_count"":1465}",1080,3
淮王鱼,想变得更好？看完这些书你还不优秀只能怪你太笨,2017.02.14 17:04,字数 3639,11444,"80,""author"":{""total_wordage"":34375,""followers_count"":499,""total_likes_count"":1528}",1154,1
尹沽城,春节这几天，我看的7部电影,2017.02.01 12:12,字数 1860,26291,"172,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43180}",982,1
在下行之,2017年，公众号写作的未来在哪里？,2017.02.08 09:49,字数 2981,16649,"307,""author"":{""total_wordage"":364938,""followers_count"":15032,""total_likes_count"":29642}",818,16
尹沽城,考研失败两次后，我决定再也不考了,2017.02.17 14:56,字数 1631,23209,"509,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43180}",614,3
鲸鱼没有枝,我是如何从130多斤的丑b变美的~只需坚持一些小习惯,2017.01.22 16:32,字数 3619,21633,"256,""author"":{""total_wordage"":22862,""followers_count"":634,""total_likes_count"":2717}",944,4
斯诺姑娘,简年3：我如何依靠英语逆袭人生，为院士口译，为外交官主持晚会！,2017.01.24 10:37,字数 1720,13708,"307,""author"":{""total_wordage"":41152,""followers_count"":2117,""total_likes_count"":4493}",813,14
韩大爷的杂货铺,从现在起，培养五个获益终生的思维习惯。,2016.05.12 19:47,字数 2852,143425,"1469,""author"":{""total_wordage"":398827,""followers_count"":26929,""total_likes_count"":65492}",10594,33
小饭君,一个二本学生考入985高校研究生，你知道我都经历了什么？（干货分享）,2017.02.03 19:05,字数 2248,13437,"337,""author"":{""total_wordage"":82379,""followers_count"":379,""total_likes_count"":1240}",872,5
尹沽城,推荐十部会改变你生活的电影,2017.01.13 14:22,字数 3152,42988,"305,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43180}",2925,4
韩大爷的杂货铺,17书泉思福：杀死越多的懒，就能获得越多的人生主动权,2017.01.29 10:04,字数 2616,10807,"211,""author"":{""total_wordage"":398827,""followers_count"":26929,""total_likes_count"":65492}",665,6
沙滩上的金毛,你不知道外国人有多羡慕中国人,2017.01.24 11:17,字数 1327,15457,"247,""author"":{""total_wordage"":41618,""followers_count"":71,""total_likes_count"":838}",531,7
弘丹,如果你想提高写作能力，我推荐这6本书,2016.04.18 11:50,字数 3809,121099,"929,""author"":{""total_wordage"":712316,""followers_count"":17896,""total_likes_count"":40421}",8275,37
可惜无声,对不起，隔了这么久才把这部豆瓣满分神作介绍给你,2017.01.24 16:03,字数 4379,17209,"110,""author"":{""total_wordage"":219986,""followers_count"":459,""total_likes_count"":2312}",760,10
余小鱼MsYu,简年10：2017想要遇见更好的自己，推荐这5本书给你,2017.01.31 13:22,字数 2331,10661,"139,""author"":{""total_wordage"":366899,""followers_count"":1780,""total_likes_count"":6034}",778,4
Ricepanda,看这本英文原版词汇书如何吊打和暴虐99%的词汇书（豆瓣评分高达9.4分）,2017.02.01 16:46,字数 2861,7222,"290,""author"":{""total_wordage"":41113,""followers_count"":1020,""total_likes_count"":2145}",704,6
蔓殊,最全的化妆品功课，你确定不看？,2017.01.19 13:40,字数 3174,10565,"98,""author"":{""total_wordage"":10381,""followers_count"":172,""total_likes_count"":1306}",869,1
饱醉豚,毁掉你的不是高房价，而是你自己,2016.11.23 17:54,字数 10806,113223,"1637,""author"":{""total_wordage"":467321,""followers_count"":18575,""total_likes_count"":31681}",2997,66
顾一宸,承认吧，你早就过够了一个人的生活,2017.02.11 08:18,字数 2400,8999,"250,""author"":{""total_wordage"":485571,""followers_count"":9509,""total_likes_count"":34344}",529,6
在下行之,读古典诗词到底有什么用？,2017.02.11 11:05,字数 3609,11012,"222,""author"":{""total_wordage"":364938,""followers_count"":15032,""total_likes_count"":29643}",708,15
汉哥的远征,如何利用一个淘宝店改变自己的职业生涯？,2017.02.07 10:12,字数 2136,13575,"189,""author"":{""total_wordage"":47258,""followers_count"":2605,""total_likes_count"":3715}",748,2
不忘初心25,20岁患上白血病，我已与病魔斗争三年半，记下我的心路历程，至少在世上我还留下痕迹,2017.01.09 00:12,字数 2332,19642,"1653,""author"":{""total_wordage"":5060,""followers_count"":544,""total_likes_count"":1831}",1730,850
南下的夏天,怒怼鸡汤，你的人生一定失败得很彻底吧？,2017.02.05 10:06,字数 3007,14245,"277,""author"":{""total_wordage"":250512,""followers_count"":11943,""total_likes_count"":17964}",654,16
饱醉豚,普通话是汉语的灾难,2017.01.21 20:32,字数 4372,11636,"444,""author"":{""total_wordage"":467321,""followers_count"":18575,""total_likes_count"":31681}",144,8
思考问题的熊,非功利性英语学习工具推荐（iOS版本） ,2017.01.30 11:28,字数 2476,11879,"71,""author"":{""total_wordage"":114489,""followers_count"":847,""total_likes_count"":3142}",920,3
雅客先生,这可能是史上最全的简历教程,2017.02.16 17:15,字数 4459,8237,"45,""author"":{""total_wordage"":37954,""followers_count"":1111,""total_likes_count"":2573}",1006,2
顾一宸,直男癌和重男轻女是捅向女人的尖刀,2017.01.16 13:09,字数 2996,12289,"315,""author"":{""total_wordage"":485571,""followers_count"":9509,""total_likes_count"":34344}",549,4
汝之尾巴草,没有刻骨铭心的自卑，哪来不顾一切的努力！,2017.02.05 09:52,字数 1919,10842,"473,""author"":{""total_wordage"":226139,""followers_count"":1854,""total_likes_count"":11205}",591,5
熊猫Panda先生,大学四年，看了近百部电影，这6部改变了我的世界观,2017.02.09 12:43,字数 3299,11958,"114,""author"":{""total_wordage"":40441,""followers_count"":1086,""total_likes_count"":5564}",898,1
一只森女,那个被称为学霸的女同学，如何在读研的第一年就攒下4万块钱？,2017.01.29 15:27,字数 3222,10650,"296,""author"":{""total_wordage"":128648,""followers_count"":824,""total_likes_count"":2635}",519,2
芍柚,曾经有那么一瞬间，我想过和你的未来,2017.01.28 00:23,字数 5011,12576,"340,""author"":{""total_wordage"":44987,""followers_count"":213,""total_likes_count"":854}",501,4
知唐讲吾,这个时代的你，千万要相信读书能够改变命运,2017.01.22 10:35,字数 4059,10791,"371,""author"":{""total_wordage"":62781,""followers_count"":322,""total_likes_count"":765}",438,24
布洛迪的后花园,为什么说绝大多数人都是“低品质勤奋者”？,2016.08.21 12:18,字数 6088,248983,"1526,""author"":{""total_wordage"":55465,""followers_count"":4027,""total_likes_count"":7447}",7050,143
尹沽城,11年的写作，让我获益最深的4篇文章,2017.01.20 13:19,字数 1507,13396,"130,""author"":{""total_wordage"":483220,""followers_count"":19523,""total_likes_count"":43181}",704,9
戈漠,大学里，你最好要趁早习惯独处,2017.02.04 07:54,字数 2520,6102,"296,""author"":{""total_wordage"":83303,""followers_count"":406,""total_likes_count"":1507}",539,2
月儿好看0304,简年11:我是如何在学完韩语一年后，挣回当时16000的报名费！,2017.01.30 23:40,字数 2955,13192,"167,""author"":{""total_wordage"":75547,""followers_count"":8208,""total_likes_count"":9951}",608,8
充满烟火气的女王,因为“自卑”，我遇见了更好的自己,2017.01.17 18:26,字数 3500,11240,"292,""author"":{""total_wordage"":95656,""followers_count"":422,""total_likes_count"":1570}",598,10
空白中的独舞,因为并不聪明，所以努力把这些习惯坚持了7年,2016.03.02 15:52,字数 2716,150181,"2649,""author"":{""total_wordage"":145458,""followers_count"":12003,""total_likes_count"":30941}",12041,186
自在独行and旅煮天下,花六年时间阅胸无数（男士止步）——胸部保养之一﻿﻿﻿（把握正确的内衣穿着方法，可以把她一手带大）,2017.02.11 16:29,字数 2763,10093,"191,""author"":{""total_wordage"":27280,""followers_count"":622,""total_likes_count"":1296}",693,4
潇潇姑娘,如果你是硕士，会和一个高中学历的人谈恋爱吗？,2017.01.20 06:29,字数 2976,14162,"572,""author"":{""total_wordage"":44251,""followers_count"":419,""total_likes_count"":1372}",317,16
狸小猫,中国人，你为什么不读书？,2017.02.04 07:12,字数 2094,14668,"223,""author"":{""total_wordage"":152348,""followers_count"":7928,""total_likes_count"":11405}",501,13
斯诺姑娘,简年1：20小时赚够一个月的生活费（帝都！），我们是怎么做到的？,2017.01.22 18:03,字数 854,13365,"151,""author"":{""total_wordage"":41152,""followers_count"":2117,""total_likes_count"":4493}",711,4
平实者传奇,从火车站，我看到了农村大学生的尴尬,2017.02.02 12:00,字数 1431,17871,"402,""author"":{""total_wordage"":6532,""followers_count"":137,""total_likes_count"":467}",389,8
真真徐来,在29岁写给18岁的自己,2017.02.01 12:12,字数 6581,14416,"128,""author"":{""total_wordage"":6581,""followers_count"":235,""total_likes_count"":692}",692,32
潇潇姑娘,年味大作战‖52岁的妈妈，也有自己的大梦想（江湖令 5）,2017.01.26 09:33,字数 2464,3595,"388,""author"":{""total_wordage"":44251,""followers_count"":419,""total_likes_count"":1372}",357,8
谦行公子,【精品收藏】你要的微信公众号排版干货，都在这里了！,2017.02.03 14:14,字数 12154,7413,"252,""author"":{""total_wordage"":72938,""followers_count"":482,""total_likes_count"":1359}",742,10
用时间酿酒,大学生，千万别错过利用寒假提升自己的机会,2017.01.25 09:45,字数 4072,11640,"122,""author"":{""total_wordage"":231212,""followers_count"":7118,""total_likes_count"":27111}",725,5
韩大爷的杂货铺,先解决掉前百分之十的困难,2017.01.23 11:53,字数 2930,8049,"170,""author"":{""total_wordage"":398827,""followers_count"":26929,""total_likes_count"":65494}",508,6
韩大爷的杂货铺,你在乎的人那里，藏着你的力量和勇气,2017.01.25 11:00,字数 2461,12174,"111,""author"":{""total_wordage"":398827,""followers_count"":26929,""total_likes_count"":65494}",570,5
迎刃,如何变得会与异性聊天？,2015.03.07 17:46,字数 6746,224171,"613,""author"":{""total_wordage"":386024,""followers_count"":15994,""total_likes_count"":33023}",7994,6
饱醉豚,居高临下地尊重你,2017.01.28 21:49,字数 1558,9536,"209,""author"":{""total_wordage"":467321,""followers_count"":18575,""total_likes_count"":31681}",350,13
